Individual,Animal Set,Strain Rate (1/s),Tube Foot Disc Tenacity (MPa)
Spurp2023-023,CA8,0.7457516829677994,0.3867642972606415
Spurp2023-023,CA8,1.0308920323378403,0.3959483826177176
Spurp2023-023,CA8,1.3599001277648106,0.3780456539854694
Spurp2023-023,CA8,1.5792388580494576,0.29071212121520584
Spurp2023-024,CA8,0.15190386173372944,0.16782251973387655
Spurp2023-024,CA8,0.37132055090467186,0.3347645244279853
Spurp2023-024,CA8,0.5738590332163112,0.19119331131877393
Spurp2023-024,CA8,0.7932757223872536,0.13041139257874465
Spurp2023-024,CA8,1.0464488252768027,0.37905294479192314
Spurp2023-024,CA8,1.2152308938698353,0.26633487738642275
Spurp2023-024,CA8,1.4008911693221713,0.3383610989662162
Spurp2023-025,CA8,0.17928808288049813,0.2603545668539719
Spurp2023-025,CA8,0.43825975815232876,0.12123135204371462
Spurp2023-025,CA8,0.6773105353263263,0.200922551797752
Spurp2023-025,CA8,0.936282210598157,0.1674463328890489
Spurp2023-025,CA8,1.2350956820656538,0.201389183302474
Spurp2023-025,CA8,1.434304663043985,0.19785490733806232
Spurp2023-025,CA8,1.6534345421201495,0.21292992462635427
Spurp2023-026,CA8,0.20799670286708047,0.150987073848354
Spurp2023-026,CA8,0.5084363847861968,0.17351226254886626
Spurp2023-026,CA8,0.7857653219423042,0.21391438758529296
Spurp2023-026,CA8,1.0862050038614204,0.18667488039151428
Spurp2023-026,CA8,1.4328661753065544,0.16733830592989396
Spurp2023-026,CA8,1.6639736229366437,0.18350885896120225
Spurp2023-026,CA8,1.9181918153297424,0.12562125565219456
Spurp2023-043,CA44,2.45601368265936,0.2045415711027299
Spurp2023-043,CA44,0.2663147366739065,0.14772189846090222
Spurp2023-043,CA44,1.3907547359637338,0.14653601197173882
Spurp2023-047,CA44,3.0208301625094136,0.1964236215040573
Spurp2023-047,CA44,0.3275598971395749,0.09205398515609364
Spurp2023-047,CA44,1.7105905739511136,0.3175117585214292
Spurp2023-048,CA44,2.2210556972085613,0.1707460698266582
Spurp2023-048,CA44,0.24083736475755488,0.20129101332769825
Spurp2023-048,CA44,1.2577062381783422,0.20286556821122864
Spurp2023-049,CA44,2.214591221146945,0.19595805562321575
Spurp2023-049,CA44,0.24013639747376514,0.2596584516334164
Spurp2023-049,CA44,1.2540456312518846,0.18788190551894957
Spurp2023-050,CA44,3.835442570023783,0.23269047951837915
Spurp2023-050,CA44,0.4158913630146271,0.18276142395318948
Spurp2023-050,CA44,2.171877117965275,0.2370817817963065
Spurp2023-051,CA44,2.3788983121286553,0.2665799291832185
Spurp2023-051,CA44,0.25795282902599875,0.2647795714962088
Spurp2023-051,CA44,1.3470869960246603,0.26672551609754735
Spurp2023-052,CA44,1.8928093561587207,0.31851171612824447
Spurp2023-052,CA44,0.2052443880172107,0.35359732522739734
Spurp2023-052,CA44,1.071831804089878,0.325329767045365
Spurp2023-053,CA44,2.314004242155247,0.31071153786055766
Spurp2023-053,CA44,0.25091612264334,0.21402303604071876
Spurp2023-053,CA44,1.310339751581887,0.29361859923691724
Spurp2023-054,CA44,2.881346164928255,0.5441071173904267
Spurp2023-054,CA44,0.31243512631752157,0.1876627445303018
Spurp2023-054,CA44,1.631605659658168,0.422853162412441
Spurp2023-055,CA44,2.599817323679136,0.2245048642649119
Spurp2023-055,CA44,0.2819079025676172,0.11433219006599434
Spurp2023-055,CA44,1.4721857134086676,0.2496325509484539
Spurp2023-056,CA44,1.8226952348158503,0.27552426540409364
Spurp2023-056,CA44,0.1976416519679838,0.4650458151864952
Spurp2023-056,CA44,1.0321286269439156,0.2771106459421151
Spurp2024-200,WA2,1.2810223484380787,0.25801919700028847
Spurp2024-200,WA2,0.13890603778244226,0.1697156088837612
Spurp2024-200,WA2,0.7253981973083097,0.10788305739832708
Spurp2024-204,WA2,1.3881827182959137,0.25146606224627877
Spurp2024-204,WA2,0.1505258369236533,0.0923770573540127
